ano,rede,localizacao,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2001,"total - federal, estadual e municipal",total,LP,12,262.33649611782545,25.966413950079417,16.147490694075074,17.336989181703206,14.769626571895172,12.800317085650279,7.63451439982091,3.9063833883297936,1.3071609779962634,0.1311037504499229,,
2001,"total - federal, estadual e municipal",total,MT,12,276.71100244654463,19.663674240730906,16.147490694075074,17.336989181703206,14.769626571895172,12.800317085650279,7.63451439982091,3.9063833883297936,1.3071609779962634,0.1311037504499229,0,0
2001,federal,total,MT,9,235.45744308522089,23.059449100070434,20.385420365135243,20.42189140007569,17.303703106417927,11.23901231563798,5.1300535801574014,1.7210290006392353,0.58709334924656487,0.14309635385274891,0.0092514287666554,
2001,total - estadual e municipal,total,LP,9,248.12492063316321,19.001003829347503,14.23105869588086,17.559480821105428,17.022400815196722,14.457295749367514,10.456400053955358,5.4437071705335365,1.6638456424655008,0.16480722214747451,,
2001,estadual,total,MT,9,235.1288688873824,23.509752350320682,20.035740459172388,21.384664385994792,15.914766644857815,11.050398939314208,5.3921998657708166,1.8278938123347672,0.6916263549949806,0.16695106599392259,0.0260061212455989,
2001,estadual,total,MT,5,168.17781792470686,14.819908626135916,21.596330820389536,23.205648768344677,18.575608011420385,12.0149044751939,5.9680937072759628,2.5554204477840985,0.970470042209322,0.1898922772512282,0.1037228239950668,0
2001,estadual,total,LP,5,157.87593539456867,25.776594398412875,19.377965860348969,19.660492982818692,16.956020645992858,10.629985454602965,4.7359202656813153,1.9025172523802141,0.71029135931434029,0.2425855552844878,0.0076262251633391,
2001,federal,total,MT,5,174.65687124404818,12.286573319758229,18.491099850654511,21.491665876360251,20.586530356371323,14.421628156564784,7.7750443035091932,3.405599059004552,1.0870475106844295,0.38324876371580668,0.0715628033769427,0
2001,"total - federal, estadual e municipal",total,LP,5,165.11787366420145,22.205281549329975,17.773519285656938,18.98847911384442,17.328105885374782,12.167233372350813,6.6866232174086031,3.1701120451819884,1.2532447381217184,0.3837267496300758,0.0436740431005511,
2001,"total - federal, estadual, municipal e privada",total,LP,5,165.11787366420145,22.205281549329985,17.773519285656942,18.988479113844427,17.328105885374786,12.167233372350816,6.686623217408604,3.1701120451819889,1.2532447381217189,0.38372674963007591,0.0436740431005511,
2001,municipal,total,LP,9,282.04976124068446,4.8847474751483446,5.9845427581096766,11.445983138260251,17.783946706874222,22.2052996690498,20.728791238018051,12.426851825439622,4.1145321507278272,0.42530503837225159,,
2001,total - estadual e municipal,total,LP,5,166.47531426322246,22.221007965734675,17.332932465344776,18.3451987954268,17.0013235511988,12.329483999539798,6.96697939176207,3.7094900699808808,1.5001875831818841,0.534367810505859,0.059028367324379,
2001,"total - federal, estadual, municipal e privada",total,MT,5,176.25525120280636,12.534519298287895,18.637901448732769,21.147469009364212,19.042390764219871,13.765345080864291,8.0819452167032075,4.1816822415409387,1.8179319651832488,0.58035895533996773,0.19566345396927259,0.0147925657942904
