ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2005,"total - federal, estadual e municipal",total,AC,LP,5,167.65413548574676,10.243726639387573,22.628679017672894,27.457438222435989,19.754752965814316,14.11485885201102,4.6473537895564041,1.1531905131219125,0,0,0,
2005,municipal,total,AC,MT,5,167.68726634185782,9.1454975663463625,22.900029385568963,28.306121663493478,23.209605103554008,10.396354909062342,3.883016517622055,1.1332737277777842,0.4819705057177861,0.54413062085732711,0,0
1997,"total - federal, estadual, municipal e privada",total,AC,MT,5,167.70780901226451,5.4053878268679361,28.513389524659672,29.214325754898244,20.711987710271124,10.400068532648936,4.4575209365364881,1.2332189231953736,0.064100790922594991,0,0,0
1997,"total - federal, estadual e municipal",total,AC,MT,5,167.70780901226451,5.4053878268679361,28.513389524659672,29.214325754898244,20.711987710271124,10.400068532648936,4.4575209365364881,1.2332189231953736,0.064100790922594991,0,0,0
1997,total - estadual e municipal,total,AC,LP,5,168.06672056204519,9.2221807811538952,27.02833718182891,23.777651300219997,21.684990181126462,11.317891161892302,4.3604999483466855,1.6581343601766123,0.85924175826843141,0.091073326986889136,0,
1995,"total - federal, estadual e municipal",total,AC,MT,5,168.3368579129465,2.9352678571428572,21.819196428571427,42.477678571428569,19.185267857142858,7.4107142857142856,5.2455357142857144,0.3013392857142857,0.625,0,0,0
1995,"total - federal, estadual, municipal e privada",total,AC,MT,5,168.3368579129465,2.9352678571428572,21.819196428571427,42.477678571428569,19.185267857142858,7.4107142857142856,5.2455357142857144,0.3013392857142857,0.625,0,0,0
1995,"total - federal, estadual, municipal e privada",total,AC,LP,5,168.53929427048635,14.568065733955141,20.597379524761269,21.685542971352433,18.1545636242505,16.233622029757939,5.4741283588718632,2.287363979569176,0.26648900732844771,0.73284477015323113,0,
1995,"total - federal, estadual e municipal",total,AC,LP,5,168.53929427048635,14.568065733955141,20.597379524761269,21.685542971352433,18.1545636242505,16.233622029757939,5.4741283588718632,2.287363979569176,0.26648900732844771,0.73284477015323113,0,
2005,municipal,total,AC,LP,5,168.73593375083669,11.512859640406059,17.916411329750868,26.216472828792206,23.114513293664523,15.991426896047434,4.20575629565347,1.0425597156855351,0,0,0,
